Actor,Recip,total.groom.secs,Actor.mins,Recip.mins,dyad.obs.secs,groom.rate
alb,dan,215,2222,2228,267000,0.000805243
alb,fra,30,2222,2233,267300,0.000112233
alb,gre,78,2222,2225,266820,0.000292332
alb,har,96,2222,2219,266460,0.000360279
alb,isa,1954,2222,2259,268860,0.007267723
alb,jan,226,2222,2231,267180,0.000845872
alb,jul,1233,2222,2202,265440,0.004645118
alb,kim,158,2222,2250,268320,0.000588849
alb,lul,199,2222,2262,269040,0.000739667
alb,nin,445,2222,2221,266580,0.001669293
alb,oli,363,2222,2232,267240,0.00135833
alb,pen,395,2222,2242,267840,0.001474761
alb,qui,217,2222,2218,266400,0.000814565
alb,ros,1204,2222,2216,266280,0.004521556
alb,sal,237,2222,2171,263580,0.000899158
alb,tam,365,2222,2253,268500,0.001359404
alb,urs,640,2222,2271,269580,0.002374063
alb,vin,1024,2222,2257,268740,0.003810374
alb,xen,686,2222,2247,268140,0.002558365
dan,dop,12,2228,2257,269100,4.46E-05
dan,fra,287,2228,2233,267660,0.001072256
dan,har,41,2228,2219,266820,0.000153662
dan,jan,121,2228,2231,267540,0.000452269
dan,jul,20,2228,2202,265800,7.52E-05
dan,lul,149,2228,2262,269400,0.000553081
dan,nin,108,2228,2221,266940,0.000404585
dan,oli,304,2228,2232,267600,0.001136024
dan,sal,6,2228,2171,263940,2.27E-05
dan,urs,10,2228,2271,269940,3.70E-05
dan,vin,141,2228,2257,269100,0.000523969
dan,xen,44,2228,2247,268500,0.000163873
dan,yet,345,2228,2262,269400,0.001280624
dop,alb,68,2257,2222,268740,0.000253033
dop,eri,229,2257,2200,267420,0.000856331
dop,gem,774,2257,2248,270300,0.002863485
dop,isa,87,2257,2259,270960,0.000321081
dop,jan,94,2257,2231,269280,0.000349079
dop,jul,229,2257,2202,267540,0.000855947
dop,kim,198,2257,2250,270420,0.000732194
dop,lul,190,2257,2262,271140,0.000700745
dop,pen,109,2257,2242,269940,0.000403793
dop,ros,401,2257,2216,268380,0.00149415
dop,sal,509,2257,2171,265680,0.001915839
dop,tam,232,2257,2253,270600,0.000857354
dop,urs,1058,2257,2271,271680,0.003894287
dop,xen,791,2257,2247,270240,0.002927028
dop,yet,202,2257,2262,271140,0.000745003
dop,zar,481,2257,2131,263280,0.001826952
eri,gem,66,2200,2248,266880,0.000247302
eri,har,106,2200,2219,265140,0.000399789
eri,jul,275,2200,2202,264120,0.001041193
eri,nin,87,2200,2221,265260,0.00032798
eri,qui,35,2200,2218,265080,0.000132036
eri,sal,46,2200,2171,262260,0.000175398
eri,vin,43,2200,2257,267420,0.000160796
eri,yet,90,2200,2262,267720,0.000336172
eri,zar,24,2200,2131,259860,9.24E-05
fra,alb,50,2233,2222,267300,0.000187056
fra,dan,153,2233,2228,267660,0.000571621
fra,eri,105,2233,2200,265980,0.000394767
fra,gre,28,2233,2225,267480,0.000104681
fra,isa,348,2233,2259,269520,0.001291184
fra,jul,163,2233,2202,266100,0.000612552
fra,nin,392,2233,2221,267240,0.001466846
fra,oli,351,2233,2232,267900,0.00131019
fra,qui,62,2233,2218,267060,0.000232158
fra,ros,30,2233,2216,266940,0.000112385
fra,sal,174,2233,2171,264240,0.000658492
fra,tam,221,2233,2253,269160,0.000821073
fra,vin,435,2233,2257,269400,0.001614699
fra,xen,25,2233,2247,268800,9.30E-05
fra,yet,264,2233,2262,269700,0.000978865
gem,dop,158,2248,2257,270300,0.000584536
gem,eri,1485,2248,2200,266880,0.005564299
gem,fra,302,2248,2233,268860,0.001123261
gem,gre,132,2248,2225,268380,0.00049184
gem,har,1389,2248,2219,268020,0.005182449
gem,isa,312,2248,2259,270420,0.001153761
gem,jan,123,2248,2231,268740,0.000457691
gem,jul,1868,2248,2202,267000,0.006996255
gem,kim,30,2248,2250,269880,0.000111161
gem,lul,539,2248,2262,270600,0.00199187
gem,nin,114,2248,2221,268140,0.000425151
gem,oli,338,2248,2232,268800,0.00125744
gem,pen,152,2248,2242,269400,0.000564217
gem,ros,2055,2248,2216,267840,0.007672491
gem,sal,881,2248,2171,265140,0.003322773
gem,tam,407,2248,2253,270060,0.001507073
gem,uli,166,2248,2265,270780,0.000613044
gem,urs,1174,2248,2271,271140,0.004329866
gem,vin,790,2248,2257,270300,0.002922679
gem,xen,1597,2248,2247,269700,0.005921394
gem,yet,244,2248,2262,270600,0.0009017
gem,zar,4710,2248,2131,262740,0.017926467
gre,alb,48,2225,2222,266820,0.000179897
gre,dan,224,2225,2228,267180,0.000838386
gre,dop,28,2225,2257,268920,0.00010412
gre,eri,244,2225,2200,265500,0.000919021
gre,fra,197,2225,2233,267480,0.000736504
gre,har,557,2225,2219,266640,0.002088959
gre,isa,207,2225,2259,269040,0.000769402
gre,jan,251,2225,2231,267360,0.000938809
gre,jul,129,2225,2202,265620,0.000485656
gre,lul,17,2225,2262,269220,6.31E-05
gre,nin,70,2225,2221,266760,0.000262408
gre,oli,481,2225,2232,267420,0.001798669
gre,qui,111,2225,2218,266580,0.000416385
gre,ros,26,2225,2216,266460,9.76E-05
gre,tam,216,2225,2253,268680,0.00080393
gre,vin,268,2225,2257,268920,0.000996579
gre,xen,163,2225,2247,268320,0.000607484
gre,yet,918,2225,2262,269220,0.003409851
har,alb,581,2219,2222,266460,0.00218044
har,eri,120,2219,2200,265140,0.000452591
har,gem,329,2219,2248,268020,0.00122752
har,isa,87,2219,2259,268680,0.000323805
har,jan,629,2219,2231,267000,0.002355805
har,jul,1482,2219,2202,265260,0.005586971
har,kim,641,2219,2250,268140,0.002390542
har,lul,472,2219,2262,268860,0.001755561
har,nin,627,2219,2221,266400,0.002353604
har,pen,30,2219,2242,267660,0.000112082
har,ros,107,2219,2216,266100,0.000402104
har,sal,348,2219,2171,263400,0.001321185
har,tam,615,2219,2253,268320,0.002292039
har,xen,9,2219,2247,267960,3.36E-05
har,yet,64,2219,2262,268860,0.000238042
har,zar,49,2219,2131,261000,0.000187739
isa,alb,2329,2259,2222,268860,0.008662501
isa,dan,56,2259,2228,269220,0.000208008
isa,dop,100,2259,2257,270960,0.000369058
isa,eri,128,2259,2200,267540,0.000478433
isa,fra,894,2259,2233,269520,0.003317008
isa,gem,477,2259,2248,270420,0.001763923
isa,gre,1420,2259,2225,269040,0.005278026
isa,har,104,2259,2219,268680,0.000387078
isa,jan,406,2259,2231,269400,0.001507053
isa,jul,629,2259,2202,267660,0.002349996
isa,kim,1261,2259,2250,270540,0.004661048
isa,nin,1397,2259,2221,268800,0.005197173
isa,oli,1086,2259,2232,269460,0.004030283
isa,pen,703,2259,2242,270060,0.002603125
isa,ros,152,2259,2216,268500,0.000566108
isa,sal,661,2259,2171,265800,0.002486832
isa,tam,379,2259,2253,270720,0.00139997
isa,urs,1295,2259,2271,271800,0.004764533
isa,vin,1458,2259,2257,270960,0.005380868
isa,xen,485,2259,2247,270360,0.001793904
isa,yet,269,2259,2262,271260,0.000991669
isa,zar,383,2259,2131,263400,0.001454062
jan,alb,13,2231,2222,267180,4.87E-05
jan,dop,390,2231,2257,269280,0.001448307
jan,eri,662,2231,2200,265860,0.002490032
jan,gem,370,2231,2248,268740,0.001376795
jan,har,720,2231,2219,267000,0.002696629
jan,isa,575,2231,2259,269400,0.002134373
jan,jul,385,2231,2202,265980,0.001447477
jan,kim,21,2231,2250,268860,7.81E-05
jan,lul,672,2231,2262,269580,0.002492767
jan,oli,113,2231,2232,267780,0.000421988
jan,pen,459,2231,2242,268380,0.001710262
jan,ros,281,2231,2216,266820,0.001053144
jan,sal,217,2231,2171,264120,0.000821596
jan,tam,2821,2231,2253,269040,0.01048543
jan,urs,41,2231,2271,270120,0.000151784
