Actor,Recip,total.groom.secs,Actor.mins,Recip.mins,dyad.obs.secs,groom.rate
alb,dop,127,1617,1634,195060,0.000651082
alb,eri,55,1617,1619,194160,0.000283272
alb,gem,78,1617,1640,195420,0.00039914
alb,isa,236,1617,1667,197040,0.001197726
alb,jan,210,1617,1639,195360,0.001074939
alb,jul,1475,1617,1647,195840,0.007531658
alb,kim,575,1617,1601,193080,0.00297804
alb,lul,14,1617,1613,193800,7.22E-05
alb,nin,610,1617,1645,195720,0.003116697
alb,pen,107,1617,1650,196020,0.000545863
alb,ros,835,1617,1642,195540,0.004270226
alb,sal,326,1617,1628,194700,0.001674371
alb,tam,1082,1617,1629,194760,0.005555556
alb,vin,234,1617,1613,193800,0.00120743
alb,xen,136,1617,1624,194460,0.000699373
alb,yet,8,1617,1690,198420,4.03E-05
dan,eri,327,1659,1619,196680,0.001662599
dan,gre,24,1659,1662,199260,0.000120446
dan,har,275,1659,1623,196920,0.001396506
dan,isa,35,1659,1667,199560,0.000175386
dan,jul,15,1659,1647,198360,7.56E-05
dan,lul,88,1659,1613,196320,0.000448248
dan,tam,277,1659,1629,197280,0.001404096
dan,yet,51,1659,1690,200940,0.000253807
dop,alb,603,1634,1617,195060,0.003091357
dop,eri,271,1634,1619,195180,0.001388462
dop,gem,365,1634,1640,196440,0.001858074
dop,gre,112,1634,1662,197760,0.000566343
dop,isa,620,1634,1667,198060,0.003130365
dop,jan,193,1634,1639,196380,0.000982788
dop,kim,59,1634,1601,194100,0.000303967
dop,lul,35,1634,1613,194820,0.000179653
dop,nin,464,1634,1645,196740,0.002358443
dop,pen,718,1634,1650,197040,0.00364393
dop,qui,94,1634,1652,197160,0.00047677
dop,ros,1233,1634,1642,196560,0.006272894
dop,sal,115,1634,1628,195720,0.000587574
dop,tam,509,1634,1629,195780,0.002599857
dop,urs,241,1634,1642,196560,0.001226089
dop,vin,17,1634,1613,194820,8.73E-05
dop,xen,168,1634,1624,195480,0.000859423
eri,har,82,1619,1623,194520,0.00042155
eri,jan,13,1619,1639,195480,6.65E-05
eri,ros,69,1619,1642,195660,0.000352653
eri,sal,176,1619,1628,194820,0.000903398
eri,vin,29,1619,1613,193920,0.000149546
eri,yet,25,1619,1690,198540,0.000125919
fra,isa,137,1562,1667,193740,0.000707133
fra,jan,262,1562,1639,192060,0.001364157
fra,jul,99,1562,1647,192540,0.000514179
fra,pen,420,1562,1650,192720,0.002179328
fra,qui,61,1562,1652,192840,0.000316324
fra,ros,285,1562,1642,192240,0.001482522
fra,xen,10,1562,1624,191160,5.23E-05
gem,eri,1208,1640,1619,195540,0.006177764
gem,isa,113,1640,1667,198420,0.000569499
gem,jan,8,1640,1639,196740,4.07E-05
gem,jul,699,1640,1647,197220,0.003544265
gem,lul,31,1640,1613,195180,0.000158828
gem,nin,123,1640,1645,197100,0.000624049
gem,oli,456,1640,1666,198360,0.002298851
gem,pen,17,1640,1650,197400,8.61E-05
gem,ros,417,1640,1642,196920,0.002117611
gem,sal,3305,1640,1628,196080,0.016855365
gem,tam,638,1640,1629,196140,0.003252779
gem,urs,2732,1640,1642,196920,0.013873654
gem,vin,231,1640,1613,195180,0.001183523
gem,xen,1775,1640,1624,195840,0.009063521
gem,yet,68,1640,1690,199800,0.00034034
gem,zar,1803,1640,1480,187200,0.00963141
gre,dop,111,1662,1634,197760,0.000561286
gre,eri,665,1662,1619,196860,0.003378035
gre,fra,110,1662,1562,193440,0.000568652
gre,har,190,1662,1623,197100,0.000963978
gre,isa,232,1662,1667,199740,0.00116151
gre,lul,41,1662,1613,196500,0.000208651
gre,oli,65,1662,1666,199680,0.000325521
gre,qui,82,1662,1652,198840,0.000412392
gre,tam,25,1662,1629,197460,0.000126608
gre,uli,76,1662,1566,193680,0.0003924
gre,yet,218,1662,1690,201120,0.00108393
har,alb,55,1623,1617,194400,0.000282922
har,dan,442,1623,1659,196920,0.002244566
har,eri,646,1623,1619,194520,0.003320995
har,gem,28,1623,1640,195780,0.000143018
har,gre,310,1623,1662,197100,0.001572806
har,jan,183,1623,1639,195720,0.000935009
har,jul,99,1623,1647,196200,0.000504587
har,kim,140,1623,1601,193440,0.000723739
har,nin,194,1623,1645,196080,0.000989392
har,oli,284,1623,1666,197340,0.001439141
har,ros,61,1623,1642,195900,0.000311383
har,uli,76,1623,1566,191340,0.000397199
har,yet,86,1623,1690,198780,0.000432639
isa,alb,341,1667,1617,197040,0.001730613
isa,dan,199,1667,1659,199560,0.000997194
isa,dop,330,1667,1634,198060,0.001666162
isa,eri,636,1667,1619,197160,0.003225806
isa,fra,86,1667,1562,193740,0.000443894
isa,gem,528,1667,1640,198420,0.002661022
isa,gre,2472,1667,1662,199740,0.012376089
isa,har,64,1667,1623,197400,0.000324215
isa,jan,207,1667,1639,198360,0.001043557
isa,jul,1069,1667,1647,198840,0.005376182
isa,lul,1117,1667,1613,196800,0.005675813
isa,nin,384,1667,1645,198720,0.001932367
isa,oli,262,1667,1666,199980,0.001310131
isa,pen,124,1667,1650,199020,0.000623053
isa,qui,33,1667,1652,199140,0.000165713
isa,ros,219,1667,1642,198540,0.001103052
isa,sal,255,1667,1628,197700,0.001289833
isa,tam,144,1667,1629,197760,0.000728155
isa,urs,534,1667,1642,198540,0.002689634
isa,vin,510,1667,1613,196800,0.002591463
isa,yet,340,1667,1690,201420,0.001688015
jan,alb,19,1639,1617,195360,9.73E-05
jan,dop,207,1639,1634,196380,0.001054079
jan,fra,130,1639,1562,192060,0.000676872
jan,har,295,1639,1623,195720,0.001507255
jan,isa,72,1639,1667,198360,0.000362976
jan,jul,88,1639,1647,197160,0.000446338
jan,lul,222,1639,1613,195120,0.001137761
jan,nin,65,1639,1645,197040,0.000329882
jan,pen,250,1639,1650,197340,0.001266849
jan,ros,10,1639,1642,196860,5.08E-05
jan,sal,293,1639,1628,196020,0.001494745
jan,tam,609,1639,1629,196080,0.003105875
jan,urs,431,1639,1642,196860,0.002189373
jan,xen,302,1639,1624,195780,0.001542548
jan,zar,54,1639,1480,187140,0.000288554
jul,alb,419,1647,1617,195840,0.002139502
jul,eri,383,1647,1619,195960,0.001954481
jul,fra,224,1647,1562,192540,0.001163395
jul,gem,476,1647,1640,197220,0.002413548
jul,gre,97,1647,1662,198540,0.000488567
jul,har,311,1647,1623,196200,0.001585117
jul,isa,735,1647,1667,198840,0.003696439
jul,jan,93,1647,1639,197160,0.000471698
jul,lul,357,1647,1613,195600,0.001825153
jul,nin,153,1647,1645,197520,0.000774605
jul,pen,280,1647,1650,197820,0.001415428
jul,ros,200,1647,1642,197340,0.001013479
jul,sal,99,1647,1628,196500,0.000503817
jul,uli,17,1647,1566,192780,8.82E-05
jul,urs,275,1647,1642,197340,0.001393534
jul,xen,206,1647,1624,196260,0.001049628
kim,alb,110,1601,1617,193080,0.000569712
kim,dop,36,1601,1634,194100,0.000185471
kim,har,243,1601,1623,193440,0.001256203
kim,isa,24,1601,1667,196080,0.000122399
kim,jan,84,1601,1639,194400,0.000432099
kim,nin,229,1601,1645,194760,0.001175806
kim,sal,197,1601,1628,193740,0.001016827
kim,tam,281,1601,1629,193800,0.001449948
kim,urs,25,1601,1642,194580,0.000128482
kim,xen,48,1601,1624,193500,0.000248062
kim,zar,633,1601,1480,184860,0.003424213
lul,dan,112,1613,1659,196320,0.000570497
lul,dop,451,1613,1634,194820,0.002314957
lul,gem,79,1613,1640,195180,0.000404755
lul,gre,54,1613,1662,196500,0.000274809
lul,isa,447,1613,1667,196800,0.002271341
lul,jan,384,1613,1639,195120,0.00196802
lul,jul,41,1613,1647,195600,0.000209611
lul,nin,30,1613,1645,195480,0.000153468
lul,pen,37,1613,1650,195780,0.000188988
lul,ros,99,1613,1642,195300,0.000506912
lul,sal,413,1613,1628,194460,0.00212383
lul,tam,346,1613,1629,194520,0.001778737
lul,zar,129,1613,1480,185580,0.000695118
nin,alb,1385,1645,1617,195720,0.007076436
nin,dop,438,1645,1634,196740,0.002226289
nin,eri,259,1645,1619,195840,0.001322508
nin,gem,232,1645,1640,197100,0.001177067
