Actor,Recip,total.groom.secs,Actor.mins,Recip.mins,dyad.obs.secs,groom.rate
nin,har,91,1645,1623,196080,0.000464096
nin,isa,33,1645,1667,198720,0.000166063
nin,jan,95,1645,1639,197040,0.000482136
nin,jul,306,1645,1647,197520,0.00154921
nin,kim,746,1645,1601,194760,0.003830355
nin,lul,328,1645,1613,195480,0.001677921
nin,pen,214,1645,1650,197700,0.001082448
nin,qui,9,1645,1652,197820,4.55E-05
nin,ros,95,1645,1642,197220,0.000481696
nin,sal,110,1645,1628,196380,0.000560139
nin,tam,1412,1645,1629,196440,0.007187945
nin,uli,32,1645,1566,192660,0.000166096
nin,urs,365,1645,1642,197220,0.001850725
nin,vin,230,1645,1613,195480,0.001176591
nin,xen,121,1645,1624,196140,0.000616906
nin,yet,69,1645,1690,200100,0.000344828
nin,zar,34,1645,1480,187500,0.000181333
oli,dan,37,1666,1659,199500,0.000185464
oli,gem,26,1666,1640,198360,0.000131075
oli,gre,28,1666,1662,199680,0.000140224
oli,har,239,1666,1623,197340,0.001211108
oli,jan,144,1666,1639,198300,0.000726172
oli,vin,46,1666,1613,196740,0.000233811
oli,yet,189,1666,1690,201360,0.000938617
pen,alb,64,1650,1617,196020,0.000326497
pen,dop,790,1650,1634,197040,0.004009338
pen,eri,159,1650,1619,196140,0.000810645
pen,fra,337,1650,1562,192720,0.001748651
pen,gem,313,1650,1640,197400,0.001585613
pen,isa,408,1650,1667,199020,0.002050045
pen,jan,384,1650,1639,197340,0.00194588
pen,jul,624,1650,1647,197820,0.003154383
pen,kim,109,1650,1601,195060,0.000558802
pen,lul,204,1650,1613,195780,0.001041986
pen,nin,449,1650,1645,197700,0.002271118
pen,oli,226,1650,1666,198960,0.001135907
pen,qui,11,1650,1652,198120,5.55E-05
pen,ros,97,1650,1642,197520,0.00049109
pen,sal,1687,1650,1628,196680,0.008577385
pen,tam,589,1650,1629,196740,0.002993799
pen,urs,293,1650,1642,197520,0.001483394
pen,xen,667,1650,1624,196440,0.003395439
pen,yet,100,1650,1690,200400,0.000499002
pen,zar,24,1650,1480,187800,0.000127796
qui,alb,122,1652,1617,196140,0.000622005
qui,dop,42,1652,1634,197160,0.000213025
qui,eri,187,1652,1619,196260,0.000952818
qui,gre,71,1652,1662,198840,0.000357071
qui,har,266,1652,1623,196500,0.00135369
qui,jan,27,1652,1639,197460,0.000136737
qui,jul,234,1652,1647,197940,0.001182176
qui,lul,14,1652,1613,195900,7.15E-05
qui,nin,42,1652,1645,197820,0.000212314
qui,ros,18,1652,1642,197640,9.11E-05
qui,tam,414,1652,1629,196860,0.002103017
qui,uli,46,1652,1566,193080,0.000238243
qui,vin,538,1652,1613,195900,0.002746299
qui,yet,264,1652,1690,200520,0.001316577
ros,alb,771,1642,1617,195540,0.003942927
ros,dop,140,1642,1634,196560,0.000712251
ros,eri,989,1642,1619,195660,0.005054687
ros,fra,335,1642,1562,192240,0.001742613
ros,gem,923,1642,1640,196920,0.004687183
ros,har,64,1642,1623,195900,0.000326697
ros,isa,36,1642,1667,198540,0.000181324
ros,jan,24,1642,1639,196860,0.000121914
ros,jul,433,1642,1647,197340,0.002194183
ros,kim,284,1642,1601,194580,0.001459554
ros,lul,27,1642,1613,195300,0.000138249
ros,nin,303,1642,1645,197220,0.001536355
ros,sal,899,1642,1628,196200,0.004582059
ros,uli,43,1642,1566,192480,0.0002234
ros,urs,352,1642,1642,197040,0.001786439
ros,vin,47,1642,1613,195300,0.000240655
ros,xen,35,1642,1624,195960,0.000178608
ros,zar,1269,1642,1480,187320,0.006774504
sal,alb,200,1628,1617,194700,0.001027221
sal,eri,153,1628,1619,194820,0.00078534
sal,gem,109,1628,1640,196080,0.000555896
sal,jul,33,1628,1647,196500,0.000167939
sal,kim,173,1628,1601,193740,0.000892949
sal,lul,320,1628,1613,194460,0.001645583
sal,ros,534,1628,1642,196200,0.002721713
sal,tam,396,1628,1629,195420,0.002026405
sal,urs,985,1628,1642,196200,0.005020387
sal,xen,2722,1628,1624,195120,0.01395039
sal,yet,11,1628,1690,199080,5.53E-05
sal,zar,725,1628,1480,186480,0.003887816
tam,alb,829,1629,1617,194760,0.004256521
tam,dan,348,1629,1659,197280,0.00176399
tam,dop,244,1629,1634,195780,0.001246297
tam,eri,94,1629,1619,194880,0.000482348
tam,gem,562,1629,1640,196140,0.0028653
tam,jan,487,1629,1639,196080,0.00248368
tam,kim,717,1629,1601,193800,0.00369969
tam,lul,464,1629,1613,194520,0.002385359
tam,nin,541,1629,1645,196440,0.002754022
tam,pen,388,1629,1650,196740,0.001972146
tam,qui,82,1629,1652,196860,0.00041654
tam,sal,396,1629,1628,195420,0.002026405
tam,urs,193,1629,1642,196260,0.000983389
tam,xen,892,1629,1624,195180,0.00457014
uli,eri,122,1566,1619,191100,0.000638409
uli,jul,121,1566,1647,192780,0.000627658
uli,nin,75,1566,1645,192660,0.000389287
uli,vin,283,1566,1613,190740,0.001483695
uli,yet,29,1566,1690,195360,0.000148444
urs,alb,216,1642,1617,195540,0.001104633
urs,eri,35,1642,1619,195660,0.000178882
urs,gem,369,1642,1640,196920,0.001873857
urs,jan,33,1642,1639,196860,0.000167632
urs,jul,304,1642,1647,197340,0.001540488
urs,nin,421,1642,1645,197220,0.002134672
urs,ros,459,1642,1642,197040,0.002329476
urs,sal,1140,1642,1628,196200,0.005810398
urs,tam,357,1642,1629,196260,0.001819016
urs,xen,604,1642,1624,195960,0.003082262
urs,zar,1122,1642,1480,187320,0.00598975
vin,alb,34,1613,1617,193800,0.000175439
vin,dop,58,1613,1634,194820,0.000297711
vin,eri,1034,1613,1619,193920,0.005332096
vin,gem,99,1613,1640,195180,0.000507224
vin,isa,93,1613,1667,196800,0.000472561
vin,nin,666,1613,1645,195480,0.003406998
vin,oli,225,1613,1666,196740,0.001143641
vin,qui,164,1613,1652,195900,0.000837162
vin,uli,318,1613,1566,190740,0.001667191
vin,yet,141,1613,1690,198180,0.000711474
xen,eri,64,1624,1619,194580,0.000328914
xen,gem,47,1624,1640,195840,0.000239992
xen,isa,15,1624,1667,197460,7.60E-05
xen,jan,134,1624,1639,195780,0.000684442
xen,jul,341,1624,1647,196260,0.001737491
xen,kim,219,1624,1601,193500,0.001131783
xen,nin,410,1624,1645,196140,0.002090344
xen,pen,391,1624,1650,196440,0.00199043
xen,sal,262,1624,1628,195120,0.001342763
xen,tam,201,1624,1629,195180,0.001029819
xen,urs,57,1624,1642,195960,0.000290876
xen,zar,618,1624,1480,186240,0.003318299
yet,dan,103,1690,1659,200940,0.000512591
yet,eri,421,1690,1619,198540,0.00212048
yet,fra,264,1690,1562,195120,0.001353014
yet,gem,99,1690,1640,199800,0.000495495
yet,gre,512,1690,1662,201120,0.002545744
yet,har,262,1690,1623,198780,0.00131804
yet,isa,323,1690,1667,201420,0.001603614
yet,nin,151,1690,1645,200100,0.000754623
yet,oli,395,1690,1666,201360,0.001961661
yet,pen,25,1690,1650,200400,0.00012475
yet,qui,281,1690,1652,200520,0.001401356
yet,tam,34,1690,1629,199140,0.000170734
yet,uli,284,1690,1566,195360,0.001453726
yet,vin,168,1690,1613,198180,0.000847714
yet,zar,392,1690,1480,190200,0.002060988
zar,eri,39,1480,1619,185940,0.000209745
zar,gre,24,1480,1662,188520,0.000127307
zar,jan,19,1480,1639,187140,0.000101528
zar,kim,237,1480,1601,184860,0.001282051
zar,ros,492,1480,1642,187320,0.002626521
zar,sal,56,1480,1628,186480,0.0003003
zar,tam,30,1480,1629,186540,0.000160823
zar,xen,174,1480,1624,186240,0.000934278
zar,yet,303,1480,1690,190200,0.00159306
